revenue_diversity_score,view_count_sum,channel,name_cc
0,539.0,UC-G1yGKdc7R64TW9CEDDfbA,JR Cigars
1,1542185.0,UC-G2eVFQy2z59SBoSjE4d5A,পিনিকপ�...
1,924311.0,UC-G9mtbNuzq2p-o04HoJctQ,Make-up Designory
3,1765834.0,UC-GAhNmY6bkuuRPUSaRI_oQ,Flashback FM
0,15306.0,UC-GTQ8QGSKQwGxmAzF5jaLw,MMORPGcom
3,6605.0,UC-Ge26XbK2OxBuWFnQ3Heng,DaysideTV
5,589015.0,UC-H32p43Aa1wIihK4v6oKRw,Learn How with Andy ...
3,2054.0,UC-HcHe_ECeUpoCLY92diyEg,American Society of ...
3,151419.0,UC-He-TI37gYyrrSy7BWvh1Q,YCImaging
0,576308.0,UC-HlSAHcXOQPOVoXOciGYDg,CROUPIER CASINO GAMB...
0,178.0,UC-I2cp3hAGPt7qD57CmioKA,Breakthrough
5,194024.0,UC-I8Yhx2Sf-5muUol-ZHvCg,OdishaLIVE
1,759.0,UC-IJhj22_9U8E2bpG2W1R3g,6FT
1,17645.0,UC-IK_TuqOvv6sLSYzousUSQ,definite party mater...
4,391947.0,UC-IUO31UtYdHUbXspktqypQ,Wotso Videos
2,223.0,UC-Ip7H8QSpjeHxl36K4z_Ww,Google Africa
1,1322.0,UC-IxEJXZh_SrU8SHz41-dZQ,BAFTA Guru
4,1566.0,UC-J7x7Lf2YQ8i527YNO2iLw,Katesbookdate
3,2317.0,UC-J9YI4nPdilEedrOlBC-og,Basically Britt
4,912459.0,UC-JAYs887GcRROe_z9Kj2sQ,Mel in Melbourne
3,1668080.0,UC-JFyL0zDFOsPMpuWu39rPA,Thanthi TV
4,10461.0,UC-JHXzYYZJKrupkg0A1fQ2g,SriLankerC
5,305629.0,UC-JJh3bkGdMbDGsiI6xV4Ug,The Hot End - 3D Pri...
3,41597.0,UC-JR9Voq8LwxPCxKwqieRpQ,Parliament of the Re...
0,254.0,UC-JVlCB9vEonQIccbqmziUA,Swishyy
0,858787.0,UC-JblcinswY50lrUdSaRNEg,Rolling Stone
2,1930514.0,UC-Jw9GgjKYStxj0hzrAG8NA,Ivana & Ayonna
0,11105.0,UC-KH022doPmcEwrWtSqmSpg,Loopmasters
5,996072.0,UC-KRCriCihxLlcMs3uezigA,LikeMardons
0,5987.0,UC-Ks4oN8kVskUeEJWxzSj7w,RaceDepartment
4,41844.0,UC-L9VhnphHLP2hwjRXcj9VQ,Thinkific
3,410.0,UC-LGacAu72ou9bsBTj0I1oQ,Newsone Breaking
2,895.0,UC-LJ1WoCICDmEiV37ANjEBg,Steff B
3,12390.0,UC-LJgOHir8UyxoboIe-cQZA,brickitect
1,2294.0,UC-LRPu1bRHbiDLvJBQz7lgg,The [Transport Net]
2,5765.0,UC-Lh_OjlgWtjm9NUJpZbzNg,DivPiv
1,39216.0,UC-M0riLx6ZhgA857iTMxNbQ,Super Mayhem
2,10543.0,UC-M4UT-oCtEZvNGraW-EmEQ,Dain Heer
2,38095.0,UC-M9uVxX2f7Zo1iClFzc7xQ,Interior Dost
3,11965444.0,UC-MAScbt4_ypdKT2EUsiYlg,Gillian Bower
2,968991.0,UC-MJWkEkUXWanvnv7ji4z7Q,Kawaii Kakkoii Sugoi...
5,587012.0,UC-MN0HwV5VhRR7lzxZpOLaA,kevinsmak
0,5675.0,UC-MQZfMfM5QGQ96_8TvUVuA,Eggy
0,207450.0,UC-MiH6o8Q_iIhlTMQm9syxg,HerbsPlusBeadWorks
2,410.0,UC-Mit7sqGeZLU0nDIZv3jbA,Student of the Gun
2,47110.0,UC-MxBPYrW8oZlX9h_tvTFdA,I Teach Stamping
1,257644.0,UC-MxW86gZPslwwVK8fg3poA,FaZe Dirty
2,19887902.0,UC-N2GFf6Dmna8NZ51vO--Lg,MintsRecipes HINDI
4,47309.0,UC-NINtNMPM75eaqh07RCy_Q,InformOverload
4,13260025.0,UC-NPQYmHM9AagZg2GfaiiBw,Viral Now
5,258189.0,UC-NTcHZrM4MiS25Xt87EkDA,mirrorsandhaze
2,6835.0,UC-NVYNjSpxgnZorM1t2TF1w,Yale School of Manag...
5,2129427.0,UC-NXC-hJ5Y7i6s8ta2nQMSw,TricK i Know
4,8336.0,UC-NzBRK7DKKKtLHpzml29Xw,Kanella Ciraco Art
2,202324.0,UC-OC1zN27enpTA_eNWB7dKw,Terri Cole Real Love...
5,1638887.0,UC-OO324clObi3H-U0bP77dw,SnoopDoggTV
3,165597.0,UC-OPXZ8mqErEDnkR3jmodSA,LILITMAC
0,16439.0,UC-OSpcKMXooOzqzwRN3TmZw,The Filmy
3,20180.0,UC-Ou6jRKxcjMrVMxWxLO_fQ,Joy Michelle Photogr...
1,3431.0,UC-P23cnvL8tZC7nEFs2s7MQ,HaydenYT
0,39491.0,UC-P5hcUfm_VcL49-kClyqtw,Tech Virus
5,1641548.0,UC-PCv1pg7tzXyAU1F7lARiw,MONKY LONDON
3,11318.0,UC-POnCdE_fSwvDP3YZ1Y83Q,Dave Erasmus
1,324.0,UC-PYbFGw_eO4jVmyiN8Vocg,WorldPrestige
2,7622.0,UC-PhoMIVWsstY-VVtUIe-Og,UNICEF India
3,455291.0,UC-PoCqWxInxzN-9r9FxXJGg,Siddique Jaan
4,73981.0,UC-Q2g3Vn6uZSW56yHqlrJDg,ShadesOfKassie
0,496.0,UC-Q8p3gbbRDxskIEf0LNYVA,Intuit
1,3291.0,UC-QD6d2D2uCGiv8VPVpZAzw,FlightJunkies
2,2028.0,UC-QbRpxlQMJ9eRjOibVWJkQ,Destiny Cyprian's Li...
4,332715.0,UC-RA5BzE_BnZhf5iVdNF1hA,loopop
2,25162.0,UC-RI5rQVGqNae-WpAPitj7w,Kirito
1,10883.0,UC-RKpEc4eE9PwJaupN91xYQ,Sprouts
4,1255.0,UC-RNNIraJwzeBcoBSe-Qggw,Bake and Decorate To...
3,1698661.0,UC-RX7Rb0D8xmWGWIwL8kvmQ,Amelia Liana
2,584.0,UC-Rhluknrt3EthAWBYhW2mg,LIonsRoar 12 Tribes
4,2602.0,UC-Rx9HRmDoc5YmtcPOopmrA,Travel Beans
3,353.0,UC-RxXi2Xws6Uk22vp-sLbGA,WCNC
2,21340.0,UC-Rz3QbsVAfqIyVtIam994Q,Matthew Parker
3,1504.0,UC-SEDuiwEzgaZvzPAqpdGlw,Hindi techtuts
2,43537.0,UC-SEO2ugu8rh7HWa4W6kYzQ,InnerBark Outdoors
3,43227.0,UC-SJ6nODDmufqBzPBwCvYvQ,CBS This Morning
1,8272.0,UC-SgrUhzMPuSHZMu_EUX1Yw,BluePanda
2,12360.0,UC-SmuIHMG2HPDFUOBRu5LnA,Future Neighbor
4,33578.0,UC-SqzlJh3Bllv9kR4V2Kw8A,Moukass
3,32770.0,UC-T4JheeuNl2DVg-B-v7McA,Sana K
3,392.0,UC-TE9L_8uVRUs86kTLXAjug,hunterknight4
1,2585.0,UC-TLA6HsXjUx1VoZBIjqtfg,BarelyInfected
2,4652.0,UC-TbygL65GCTvKzmQC-a8Ng,kdsketch
2,149933.0,UC-U7rB0-ewUX1UAMEWDYfvw,ThatGuy
3,95575.0,UC-U9sbZbFMrUNki61Le24Cg,TeeVees Greatest
0,1035.0,UC-UZjHl2kZ-6XKBLgbFgGAQ,CovertGoBlue
2,708205.0,UC-Uh0-0dEQV8a-SPrx50zmw,Africa Adventures
4,602959.0,UC-Um2u0Agv8Q-OhjO6FZk1g,Rachel Leary
1,109345.0,UC-UuE9v-sM2IB7rTJ1W4KRw,Healthy Lifestyle
1,20103.0,UC-V496kekrz5-ihBeHvWCGA,Memphis Islamic Cent...
2,15459.0,UC-V5YJX0D6elwUrsxAoZkGw,ThePapiGfunk
3,27807.0,UC-VBI7R366REUpmb8oWtGgg,Brian Miller: Author...
0,524.0,UC-VU2FwExGkSd9XUESLsplA,MediaBurnArchive
0,5676.0,UC-VbS62vD2JDiKGru9E_Fxw,Jazz Time with Jarvi...
2,57818.0,UC-VzOfWO48Yw-i2pzzbXfSA,SneakerFiles.com
1,840.0,UC-Vznm2VbuvaIR5E7HT9S-A,Massey University
1,156.0,UC-W0HeXqgFC8oAn13ByxIDg,CosmosFTW
3,467886.0,UC-WM2mvTh2830HL8Vpgk7mA,Your Youniverse
2,107.0,UC-WQZmsFAq_N59VRrWrWilA,Preemptive Love
3,18936.0,UC-Wlae_p6l2FU_2c4PCPyug,Brian Reese
1,669828.0,UC-Wpn59o8hozHU1_7mDU11g,OTG Ministry
1,6203.0,UC-X1fTvNO6caUfxEbDby0TA,ACAMS – Associatio...
2,151114.0,UC-X4BAoKxwGYIKrKfqk7yug,Gothamista
